name,percent_sold,url,raised,goal,ico_price,curr_price,usd_roi,eth_roi,btc_roi
CPChain,40,https://icodrops.com/cpchain,30000000,30000000,0.10,0.23905,2.36,3.36,3.64
Odyssey,40,https://icodrops.com/odyssey,50000000,47600000,0.0119,0.01836,1.54,2.06,2.23
Elastos,6,https://icodrops.com/elastos,94073200,94100000,18.09,46.1585,2.55,3.94,5.12
Pundi X,66.67,https://icodrops.com/pundi-x,35000000,35000000,2.13,1.41074,0.66,0.99,1.09
FORTUNA,40,https://icodrops.com/fortuna,2000000,2000000,0.0800,0.08211,1.03,1.56,1.71
DATA,40,https://icodrops.com/data,37988300,38000000,0.0109,0.01682,1.55,2.36,2.55
Devery,60,https://icodrops.com/devery,10000000,10000000,0.17,0.10989,0.66,0.95,1.06
Mobius,30,https://icodrops.com/mobius,39000000,39000000,0.16,0.14845,0.93,1.38,1.50
Zeepin,50,https://icodrops.com/zeepin,62580000,62600000,0.13,0.07742,0.61,0.87,0.97
OriginTrail,50,https://icodrops.com/origintrail,14557536,14600000,0.1000,0.18988,1.90,2.16,2.55
MatrixChain,21.73,https://icodrops.com/matrixchain,12592104,12600000,0.36,0.50588,1.41,1.88,2.07
InsurePal,67,https://icodrops.com/insurepal,18000000,18000000,0.1000,0.15072,1.51,2.39,2.54
AidCoin,-,https://icodrops.com/aidcoin,18632900,18600000,0.65,0.27214,0.42,0.76,0.80
carVertical,43,https://icodrops.com/carvertical,19911150,19900000,0.0055,0.00504,0.92,1.70,1.79
Trinity,33.33,https://icodrops.com/trinity,20000000,20000000,0.0600,0.18440,3.07,5.67,5.74
GatCoin,50,https://icodrops.com/gatcoin,14500000,14500000,0.0318,0.02399,0.75,1.48,1.50
Selfkey,33,https://icodrops.com/selfkey,21776392,21800000,0.0150,0.01596,1.06,1.92,2.12
adbank,51,https://icodrops.com/adbank,13962900,14000000,0.0465,0.01997,0.43,0.84,0.86
Olympus Labs,40,https://icodrops.com/olympus-labs,60324750,60300000,2.18,0.64657,0.30,0.56,0.56
aXpire,75,https://icodrops.com/axpire,20000000,20000000,0.1000,0.05021,0.50,0.85,0.96
SwissBorg,53.5,https://icodrops.com/swissborg,50000000,50000000,0.1000,0.06169,0.62,1.16,1.26
Crypterium,70,https://icodrops.com/crypterium,51656963,47000000,1.98,0.78669,0.40,0.55,0.96
Theta token,40,https://icodrops.com/theta-token,20000000,20000000,0.12,0.12538,1.04,1.41,2.21
ZILLIQA,30,https://icodrops.com/zilliqa,22000000,22000000,0.0038,0.04992,13.10,8.28,27.78
trade.io,55,https://icodrops.com/trade-io,31169749,135000000,1.08,0.33984,0.31,0.43,0.64
Lamden,70,https://icodrops.com/lamden,10000000,10000000,0.0910,0.16656,1.83,2.27,3.89
Bloom,50,https://icodrops.com/bloom,41420705,80500000,1.16,0.66184,0.57,0.61,1.06
Covesting,82,https://icodrops.com/covesting,18750000,18800000,1.44,0.98809,0.69,0.72,1.23
Telcoin,20,https://icodrops.com/telco,25000000,25000000,0.0013,0.00288,2.23,2.23,3.99
BitDegree,51,https://icodrops.com/bitdegree,22127834,21600000,0.0719,0.10312,1.43,1.45,2.83
BANKEX,20,https://icodrops.com/bankex,70600000,103500000,1.48,0.79365,0.54,0.56,1.09
CanYa,60,https://icodrops.com/canya,8336405,23000000,0.79,0.56735,0.72,0.80,1.67
Sirin Labs,40,https://icodrops.com/sirin-labs,157885825,,0.47,1.08382,2.31,1.52,5.28
INS Ecosystem,60,https://icodrops.com/ins-ecosystem,45756000,45800000,2.54,2.0244,0.80,0.85,1.56
Uttoken,65,https://icodrops.com/uttoken,30854682,58500000,0.90,0.59001,0.66,0.66,1.28
SingularityNET,50,https://icodrops.com/singularitynet,32847814,32800000,0.1000,0.37386,3.74,3.52,7.07
Qlink,40,https://icodrops.com/qlink,19270800,19300000,0.10,0.15891,1.54,1.45,2.94
AppCoins,40,https://icodrops.com/appcoins,15300000,15300000,0.27,0.52397,1.92,2.20,4.49
indaHash,80,https://icodrops.com/indahash,42715825,67000000,0.21,0.13025,0.62,0.70,1.43
Bread,72.5,https://icodrops.com/bread,20021300,20000000,0.78,0.74623,0.96,0.94,2.36
SophiaTX,30,https://icodrops.com/sophiatx,23470356,82300000,0.0716,0.46645,6.51,6.55,17.91
NeuFund,100,https://icodrops.com/neufund,14790678,,0.36,0.67028,1.85,1.86,5.09
