name,percent_sold,url,date,raised,goal,ico_price,curr_price,usd_roi,eth_roi,btc_roi
CPChain,40,https://icodrops.com/cpchain,24 January,30000000,30000000,0.10,0.19481,1.92,3.15,3.43
Odyssey,40,https://icodrops.com/odyssey,23 January,50000000,47600000,0.0119,0.01493,1.26,1.93,2.10
Elastos,6,https://icodrops.com/elastos,23 January,94073200,94100000,18.09,39.2189,2.17,3.85,5.04
Pundi X,66.67,https://icodrops.com/pundi-x,21 January,35000000,35000000,2.13,1.0838,0.51,0.88,0.97
FORTUNA,40,https://icodrops.com/fortuna,21 January,2000000,2000000,0.0800,0.06698,0.84,1.46,1.61
DATA,40,https://icodrops.com/data,21 January,37988300,38000000,0.0109,0.01405,1.29,2.27,2.47
Devery,60,https://icodrops.com/devery,19 January,10000000,10000000,0.17,0.09444,0.57,0.94,1.06
Mobius,30,https://icodrops.com/mobius,19 January,39000000,39000000,0.16,0.13730,0.86,1.47,1.61
Zeepin,50,https://icodrops.com/zeepin,18 January,62580000,62600000,0.13,0.06488,0.52,0.83,0.94
OriginTrail,50,https://icodrops.com/origintrail,17 January,14557536,14600000,0.1000,0.14084,1.41,1.85,2.19
MatrixChain,21.73,https://icodrops.com/matrixchain,17 January,12592104,12600000,0.36,0.43201,1.20,1.85,2.04
InsurePal,67,https://icodrops.com/insurepal,16 January,18000000,18000000,0.1000,0.13468,1.35,2.45,2.63
AidCoin,-,https://icodrops.com/aidcoin,16 January,18632900,18600000,0.65,0.23513,0.36,0.76,0.80
carVertical,43,https://icodrops.com/carvertical,16 January,19911150,19900000,0.0055,0.00464,0.84,1.80,1.92
Trinity,33.33,https://icodrops.com/trinity,14 January,20000000,20000000,0.0600,0.14251,2.38,5.04,5.14
GatCoin,50,https://icodrops.com/gatcoin,14 January,14500000,14500000,0.0318,0.02229,0.70,1.58,1.62
Selfkey,33,https://icodrops.com/selfkey,14 January,21776392,21800000,0.0150,0.01293,0.86,1.79,1.99
adbank,51,https://icodrops.com/adbank,14 January,13962900,14000000,0.0465,0.01730,0.37,0.84,0.87
Olympus Labs,40,https://icodrops.com/olympus-labs,14 January,60324750,60300000,2.18,0.53479,0.25,0.53,0.54
aXpire,75,https://icodrops.com/axpire,12 January,20000000,20000000,0.1000,0.04317,0.43,0.85,0.95
SwissBorg,53.5,https://icodrops.com/swissborg,10 January,50000000,50000000,0.1000,0.05667,0.57,1.23,1.34
Crypterium,70,https://icodrops.com/crypterium,6 January,51656963,47000000,1.98,0.63507,0.32,0.52,0.90
Theta token,40,https://icodrops.com/theta-token,4 January,20000000,20000000,0.12,0.10387,0.87,1.34,2.12
ZILLIQA,30,https://icodrops.com/zilliqa,4 January,22000000,22000000,0.0038,0.04276,11.23,8.16,27.50
trade.io,55,https://icodrops.com/trade-io,4 January,31169749,135000000,1.08,0.26724,0.25,0.39,0.58
Lamden,70,https://icodrops.com/lamden,3 January,10000000,10000000,0.0910,0.13566,1.49,2.13,3.67
Bloom,50,https://icodrops.com/bloom,1 January,41420705,80500000,1.16,0.58299,0.50,0.62,1.09
Covesting,82,https://icodrops.com/covesting,31 December,18750000,18800000,1.44,0.79673,0.55,0.67,1.14
Telcoin,20,https://icodrops.com/telco,31 December,25000000,25000000,0.0013,0.00239,1.86,2.13,3.89
BitDegree,51,https://icodrops.com/bitdegree,28 December,22127834,21600000,0.0719,0.09660,1.34,1.56,3.06
BANKEX,20,https://icodrops.com/bankex,28 December,70600000,103500000,1.48,0.70919,0.48,0.57,1.13
CanYa,60,https://icodrops.com/canya,27 December,8336405,23000000,0.79,0.44061,0.56,0.71,1.50
Sirin Labs,40,https://icodrops.com/sirin-labs,26 December,157885825,,0.47,1.06935,2.28,1.73,6.02
INS Ecosystem,60,https://icodrops.com/ins-ecosystem,25 December,45756000,45800000,2.54,1.67063,0.66,0.81,1.49
Uttoken,65,https://icodrops.com/uttoken,25 December,30854682,58500000,0.90,0.58060,0.65,0.75,1.45
SingularityNET,50,https://icodrops.com/singularitynet,22 December,32847814,32800000,0.1000,0.31443,3.14,3.40,6.88
Qlink,40,https://icodrops.com/qlink,22 December,19270800,19300000,0.10,0.12412,1.21,1.31,2.65
AppCoins,40,https://icodrops.com/appcoins,20 December,15300000,15300000,0.27,0.42782,1.57,2.07,4.24
indaHash,80,https://icodrops.com/indahash,20 December,42715825,67000000,0.21,0.10944,0.52,0.68,1.39
Bread,72.5,https://icodrops.com/bread,19 December,20021300,20000000,0.78,0.59308,0.76,0.86,2.17
SophiaTX,30,https://icodrops.com/sophiatx,17 December,23470356,82300000,0.0716,0.40191,5.61,6.49,17.85
NeuFund,100,https://icodrops.com/neufund,17 December,14790678,,0.36,0.60164,1.66,1.92,5.28
Bounty0x,21,https://icodrops.com/bounty0x,16 December,1602927,1500000,0.0165,0.08795,5.33,5.98,15.82
Nebulas,30,https://icodrops.com/nebulas,16 December,60000000,60000000,2.00,5.16163,2.58,3.05,7.62
Coinlancer,93,https://icodrops.com/coinlancer,16 December,11860153,50000000,0.25,0.07370,0.29,0.33,0.84
Naga,55,https://icodrops.com/naga,16 December,45318896,30000000,1.00,0.73948,0.74,0.82,2.10
MediBloc,50,https://icodrops.com/medibloc,15 December,21271251,30000000,0.0088,0.02644,3.02,3.37,8.03
DeepBrain Chain,15,https://icodrops.com/deepbrain-chain,15 December,11755200,11800000,0.0158,0.05675,3.59,4.02,10.26
Aigang,51,https://icodrops.com/aigang,15 December,4228920,31100000,0.35,0.39430,1.14,1.27,3.02
GIFTO,30,https://icodrops.com/gifto,14 December,10000000,10000000,0.10,0.17322,1.73,1.96,4.65
GUTS Tickets,41,https://icodrops.com/guts-tickets,13 December,7520874,17500000,0.97,0.75433,0.78,0.86,2.14
Spectre,50,https://icodrops.com/spectre,10 December,16587120,30000000,0.22,0.34902,1.59,1.13,3.43
aelf,25,https://icodrops.com/aelf,10 December,24750000,24800000,0.0990,0.92331,9.33,6.78,20.65
Storm,65,https://icodrops.com/storm,8 December,30716420,27600000,0.0113,0.02813,2.49,1.72,6.81
Leverj,40,https://icodrops.com/leverj,7 December,13049080,51000000,0.15,0.07383,0.50,0.36,1.17
Verify,22.25,https://icodrops.com/verify,6 December,2500000,2500000,0.23,0.51157,2.27,1.70,4.35
fidentiaX,77,https://icodrops.com/fidentiax,5 December,1566283,2900000,0.0289,0.17443,6.04,4.57,11.58
SmartMesh,40,https://icodrops.com/smartmesh,4 December,15691200,16800000,0.0167,0.05072,3.03,2.29,5.53
DMarket,85,https://icodrops.com/dmarket,1 December,19026768,53300000,0.63,0.46903,0.75,0.57,1.32
Simple Token,30,https://icodrops.com/simple-token,1 December,21728192,20000000,0.0889,0.17716,1.99,1.49,3.47
Vezt,45,https://icodrops.com/vezt,1 December,1378806,15000000,0.50,0.19815,0.40,0.28,0.62
CRYPTO20,87,https://icodrops.com/crypto20,1 December,37698373,75000000,1.00,1.56785,1.57,1.09,2.45
Playkey,60,https://icodrops.com/playkey,1 December,10340040,,1.73,0.90378,0.52,0.37,0.82
LockChain,50,https://icodrops.com/lockchain,30 November,4055130,13200000,0.55,1.02812,1.86,1.25,2.81
Genaro Network,31,https://icodrops.com/genaro-network,30 November,11362000,29600000,0.15,0.28290,1.94,1.37,3.09
ETHLend,75,https://icodrops.com/ethlend,30 November,17860000,17900000,0.0173,0.05575,3.23,2.48,4.27
WaBi,46,https://icodrops.com/wabi,30 November,11500000,11500000,0.24,1.06246,4.50,3.27,7.43
Presearch,20,https://icodrops.com/presearch,30 November,20500000,,0.20,0.22942,1.15,0.77,1.75
Snovio,60,https://icodrops.com/snovio,30 November,2129106,10000000,0.0100,0.03127,3.13,2.09,4.74
WAX,7.4,https://icodrops.com/wax,29 November,9600000,9600000,0.16,0.22460,1.40,1.09,2.48
Datum,51,https://icodrops.com/datum,29 November,7581120,29400000,0.0192,0.04132,2.15,1.67,3.80
BitClave,27.5,https://icodrops.com/bitclave,29 November,25547000,25500000,0.1000,0.04165,0.42,0.32,0.74
Mercury Protocol,60,https://icodrops.com/mercury-protocol,25 November,4749479,20000000,0.0430,0.03238,0.75,0.37,0.86
MyWish,85,https://icodrops.com/mywish,25 November,2670000,2700000,0.21,0.26814,1.28,0.87,1.68
Starbase,-,https://icodrops.com/starbase,24 November,8842000,10000000,0.10,0.06684,0.65,0.49,0.86
Flixxo,20,https://icodrops.com/flixxo,24 November,4731021,12000000,0.0934,0.09479,1.01,0.67,1.32
Divi Project,80,https://icodrops.com/divi-project,24 November,2592064,2000000,0.62,1.69906,2.75,1.78,3.55
Aion,-,https://icodrops.com/aion,24 November,-,,1.00,1.88823,1.89,0.92,1.44
ARToken,53,https://icodrops.com/artoken,23 November,2813147,30000000,0.0080,0.08829,11.04,6.60,14.53
CyberMiles,70,https://icodrops.com/cybermiles,22 November,30881582,30900000,0.0524,0.13561,2.59,1.53,3.44
Bodhi,40,https://icodrops.com/bodhi,22 November,-,,0.37,0.39634,1.08,0.66,1.40
Time New Bank,27,https://icodrops.com/time-new-bank,21 November,14360000,14400000,0.0171,0.04788,2.81,1.63,3.58
UTRUST,70,https://icodrops.com/utrust,20 November,21000000,21000000,0.0650,0.21256,3.27,1.87,4.22
Zap Store,33,https://icodrops.com/zap-store,20 November,2827944,32200000,0.19,0.19187,1.03,0.62,1.37
Quantstamp,65,https://icodrops.com/quantstamp,19 November,31320000,31300000,0.0720,0.16340,2.27,1.32,2.78
MicroMoney,84,https://icodrops.com/micromoney,18 November,10541585,30000000,1.00,0.36745,0.37,0.20,0.45
B2BX,80,https://icodrops.com/b2bx,17 November,8078602,29500000,0.74,0.49924,0.67,0.36,0.83
Privatix,80,https://icodrops.com/privatix,16 November,2391939,15000000,3.33,2.45129,0.74,0.40,0.90
Matryx,60,https://icodrops.com/matryx,15 November,1984347,9000000,0.29,0.31289,1.09,0.59,1.25
Soma,90,https://icodrops.com/soma,15 November,6049621,39800000,0.74,0.20924,0.28,0.15,0.33
Genesis Vision,52,https://icodrops.com/genesis-vision,15 November,2836732,23000000,1.00,9.01453,9.01,4.84,10.59
Publica,51,https://icodrops.com/publica,15 November,1046210,1000000,0.1000,0.38024,3.80,2.05,4.06
Grid+,30,https://icodrops.com/grid,12 November,32226790,89000000,1.15,0.78637,0.69,0.34,0.73
QASH,50,https://icodrops.com/qash,8 November,106400000,106400000,0.24,0.60509,2.49,1.22,2.95
